student_id,age,gender,country,major,university_year,GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,part_time_job,relationship_status,family_income_level,internet_quality,mental_stress_level,AI_tool_usage_hours,favorite_AI_tool,note_taking_method,exam_preparation_days,coffee_consumption_per_day,extracurricular_hours_per_week,final_exam_score,assignment_score
S00001,23,Female,Germany,Law,4,3.81,4.2,96,6.2,3.9,3.3,0.0,2.1,Yes,Single,High,Average,4.8,1.5,Claude,Digital,15,3,7.6,100,100
S00002,26,Female,USA,Economics,2,3.46,3.3,94,6.6,4.9,3.2,2.7,5.0,No,Single,Low,Average,3.9,2.3,Gemini,Mixed,11,3,5.2,100,83
S00003,18,Female,Canada,Medicine,3,4.0,4.5,100,6.3,3.7,1.4,0.0,2.6,Yes,In a Relationship,High,Average,4.8,0.0,None,Mixed,12,3,4.6,100,100
S00004,20,Male,Australia,Physics,4,3.77,5.8,97,7.1,6.9,3.7,2.1,3.2,No,Single,High,Good,5.9,2.9,Gemini,Mixed,11,1,4.0,100,98
S00005,28,Female,Australia,Medicine,2,4.0,3.1,96,8.4,4.8,0.6,0.0,4.4,Yes,In a Relationship,Middle,Good,3.1,1.5,ChatGPT,Handwritten,15,4,1.4,100,94
S00006,18,Male,France,Medicine,2,4.0,3.1,96,6.1,5.6,1.8,3.9,2.9,No,In a Relationship,Low,Good,5.0,1.3,Claude,Digital,13,3,1.7,96,94
S00007,27,Male,Netherlands,Economics,1,4.0,5.9,100,8.2,1.6,0.0,0.5,0.0,Yes,In a Relationship,Low,Good,2.9,0.2,None,Handwritten,22,2,3.8,100,97
S00008,19,Male,Netherlands,Law,1,3.5,4.7,89,6.1,7.7,5.1,1.7,5.1,No,Single,High,Good,5.0,0.6,Claude,Digital,10,0,0.0,100,93
S00009,20,Male,Japan,Biology,3,3.72,2.8,90,6.0,5.6,2.5,2.7,5.5,No,Single,High,Average,5.3,0.8,Claude,Mixed,21,0,4.7,100,100
S00010,21,Female,Japan,Economics,2,3.47,4.3,100,8.0,8.8,6.1,0.1,0.0,No,Single,Low,Good,6.2,0.0,None,Handwritten,3,1,4.1,92,99
S00011,26,Female,Brazil,Biology,2,3.24,2.8,80,8.1,6.7,4.0,1.6,0.9,No,Single,Middle,Good,4.3,0.9,Claude,Mixed,14,3,4.2,100,81
S00012,25,Female,Italy,Economics,3,3.57,2.8,73,8.0,4.4,3.5,1.1,7.0,No,In a Relationship,Middle,Good,3.2,0.3,Copilot,Handwritten,4,3,5.3,92,88
S00013,24,Female,France,Physics,2,3.51,3.9,100,5.4,3.5,1.9,2.8,3.5,No,Single,Middle,Good,5.2,1.9,Claude,Mixed,7,1,1.2,100,94
S00014,26,Female,Australia,Biology,2,2.71,0.6,77,6.4,3.7,1.2,2.8,3.0,Yes,Single,Middle,Poor,4.8,0.0,None,Handwritten,7,2,5.6,74,87
S00015,26,Female,USA,Computer Science,4,2.93,0.9,71,8.0,2.9,3.6,2.0,2.1,Yes,Single,Middle,Average,3.4,1.0,Copilot,Mixed,7,1,6.1,92,85
S00016,19,Female,USA,Computer Science,3,3.45,2.7,84,7.0,6.5,2.7,0.0,0.9,No,Single,Middle,Average,4.8,0.2,None,Digital,9,2,2.0,100,99
S00017,21,Female,Germany,Engineering,2,3.3,2.0,85,5.7,2.2,0.8,0.8,2.6,Yes,Single,High,Average,3.8,1.2,Gemini,Handwritten,23,1,1.5,96,98
S00018,24,Male,Brazil,Law,4,4.0,4.0,100,7.5,4.3,0.5,1.4,4.9,Yes,Single,Middle,Good,2.5,3.6,Copilot,Mixed,8,1,5.0,100,100
S00019,25,Female,South Korea,Biology,1,2.97,2.1,72,6.1,5.1,1.4,3.1,3.0,No,Single,Middle,Average,5.2,2.9,Claude,Handwritten,4,2,0.3,87,67
S00020,21,Female,Netherlands,Business,4,2.6,1.4,74,9.2,7.8,5.5,0.0,4.2,Yes,Single,Low,Average,3.9,0.7,Gemini,Handwritten,14,1,4.2,87,75
S00021,24,Male,USA,Medicine,1,3.98,5.7,100,8.9,10.3,6.1,1.2,6.5,No,Single,Middle,Good,3.4,1.0,ChatGPT,Handwritten,13,3,3.0,100,93
S00022,18,Male,USA,Mathematics,2,4.0,3.2,98,7.7,7.0,3.1,3.2,1.8,Yes,Single,Middle,Average,3.4,0.4,Claude,Handwritten,23,2,7.4,96,100
S00023,26,Female,USA,Medicine,4,4.0,3.6,100,8.6,5.6,3.0,1.2,3.6,Yes,In a Relationship,Low,Good,3.3,1.0,ChatGPT,Mixed,12,3,0.0,98,100
S00024,23,Female,Germany,Mathematics,2,3.36,1.4,83,7.1,4.8,2.3,1.5,5.0,Yes,Single,Middle,Average,2.7,1.9,Gemini,Mixed,1,3,6.6,72,99
S00025,18,Female,Italy,Economics,3,3.99,2.7,94,7.9,5.7,1.4,0.0,1.1,Yes,Single,Middle,Good,2.7,0.0,None,Digital,10,3,3.8,100,100
S00026,27,Male,Australia,Computer Science,4,3.77,3.7,90,8.8,8.2,4.9,0.9,3.4,No,In a Relationship,Low,Average,3.3,2.8,Gemini,Mixed,10,0,6.0,98,97
S00027,24,Female,Italy,Biology,1,3.24,1.8,72,7.3,9.9,5.6,2.2,6.7,Yes,Single,Low,Poor,3.5,2.1,ChatGPT,Digital,6,3,2.8,97,84
S00028,19,Female,Netherlands,Computer Science,3,4.0,4.1,100,6.7,1.6,1.5,0.5,2.3,No,Single,High,Average,3.0,2.1,Claude,Handwritten,9,2,3.4,100,100
S00029,22,Male,Bangladesh,Engineering,3,3.01,2.6,78,5.0,5.8,2.7,0.0,5.1,Yes,Single,High,Average,4.7,1.6,ChatGPT,Digital,11,3,2.5,100,77
S00030,23,Male,Japan,Business,1,3.96,3.1,94,6.9,3.2,2.1,0.3,2.7,Yes,In a Relationship,Low,Average,1.9,0.3,Claude,Digital,12,0,1.9,100,92
S00031,22,Female,Germany,Business,3,3.83,2.6,91,8.0,5.2,2.2,3.1,6.6,Yes,In a Relationship,Low,Good,2.1,2.2,Copilot,Handwritten,5,1,1.5,100,84
S00032,21,Male,France,Biology,1,4.0,6.3,100,8.1,8.5,4.6,2.0,0.0,Yes,In a Relationship,Middle,Average,4.9,0.9,Claude,Digital,15,5,4.6,100,100
S00033,20,Female,India,Business,1,4.0,3.5,97,7.6,5.9,0.8,2.7,3.1,Yes,In a Relationship,High,Good,4.2,0.0,None,Digital,20,0,7.8,100,88
S00034,22,Female,South Korea,Medicine,3,3.41,1.9,88,6.4,5.4,3.5,2.3,0.0,Yes,In a Relationship,Middle,Average,4.9,1.3,ChatGPT,Mixed,13,2,3.8,85,84
S00035,24,Female,Japan,Business,1,3.45,4.7,100,4.6,6.3,3.9,4.7,1.6,No,Single,High,Poor,5.5,0.0,None,Mixed,18,3,3.8,100,96
S00036,28,Female,Japan,Physics,3,3.1,1.7,79,6.4,5.5,2.6,2.8,1.6,Yes,In a Relationship,High,Poor,4.4,0.6,Copilot,Handwritten,13,1,4.6,93,86
S00037,27,Male,Italy,Psychology,4,3.48,3.8,82,6.6,5.9,4.1,1.5,2.5,Yes,In a Relationship,Middle,Good,3.0,1.9,Gemini,Digital,7,1,6.0,100,87
S00038,22,Female,Brazil,Business,1,3.13,0.6,71,6.6,7.2,3.0,1.2,0.6,No,In a Relationship,Middle,Average,5.4,1.1,Copilot,Digital,13,2,2.9,83,67
S00039,22,Male,Australia,Engineering,3,2.9,1.5,84,7.7,7.5,4.6,2.1,2.9,No,In a Relationship,High,Good,5.2,1.2,ChatGPT,Mixed,9,7,2.3,92,95
S00040,22,Female,Bangladesh,Mathematics,4,4.0,3.8,95,9.4,3.6,0.5,3.1,3.9,No,Single,High,Good,2.9,2.4,Claude,Handwritten,6,2,3.0,100,100
S00041,20,Female,Canada,Biology,4,3.67,4.6,100,7.1,6.0,2.3,0.4,0.0,No,In a Relationship,Middle,Average,6.9,0.0,None,Handwritten,12,1,5.8,100,97
S00042,23,Male,USA,Biology,2,4.0,3.8,100,6.7,5.6,2.7,2.1,1.7,Yes,Single,Middle,Average,3.1,2.3,Gemini,Handwritten,16,1,4.1,100,100
S00043,19,Male,UK,Business,1,4.0,3.3,97,6.7,2.0,0.0,1.7,8.1,Yes,Single,Middle,Average,1.0,1.3,Claude,Digital,10,0,1.1,100,100
S00044,28,Female,Canada,Medicine,1,3.94,3.0,100,7.1,4.1,1.2,1.9,3.7,No,Single,Middle,Average,4.0,1.1,ChatGPT,Handwritten,22,3,5.2,92,97
S00045,25,Male,Canada,Computer Science,3,3.16,1.3,79,6.0,3.6,1.6,1.1,0.0,Yes,In a Relationship,Middle,Good,4.2,1.2,Claude,Mixed,17,2,1.5,86,75
S00046,26,Male,USA,Biology,3,3.37,2.4,87,7.1,7.3,4.2,2.2,0.2,Yes,Single,High,Poor,4.2,1.8,ChatGPT,Handwritten,9,3,5.6,100,97
S00047,23,Female,Germany,Business,1,3.27,2.8,100,7.5,5.9,1.7,3.2,3.5,No,In a Relationship,Low,Good,3.1,2.2,Gemini,Handwritten,9,0,6.1,92,82
S00048,20,Male,Germany,Psychology,1,4.0,5.1,95,7.3,3.2,1.6,2.0,3.2,Yes,In a Relationship,Middle,Good,2.8,1.0,Copilot,Handwritten,23,2,3.4,100,100
S00049,20,Male,Canada,Biology,2,3.68,4.0,89,7.5,5.2,4.0,0.0,1.8,Yes,In a Relationship,Middle,Average,6.3,1.1,Claude,Handwritten,10,2,7.3,99,94
S00050,22,Male,India,Psychology,4,3.0,0.9,91,7.5,3.5,0.4,0.3,7.4,No,In a Relationship,High,Average,4.3,1.8,ChatGPT,Handwritten,14,2,7.4,84,100
S00051,21,Female,Canada,Computer Science,4,4.0,4.0,100,4.9,2.1,0.0,3.7,8.2,No,Single,Middle,Good,1.0,0.0,None,Digital,14,0,3.4,100,100
S00052,18,Female,India,Law,2,3.35,2.9,80,7.8,5.3,2.3,0.0,2.5,Yes,In a Relationship,Middle,Average,2.2,1.1,ChatGPT,Digital,3,0,5.6,76,99
S00053,25,Female,Brazil,Physics,1,4.0,2.5,100,6.2,4.0,0.6,0.0,4.7,No,Single,Middle,Average,2.4,1.7,Copilot,Digital,3,4,8.4,100,100
S00054,25,Male,Japan,Biology,2,3.89,4.4,80,5.7,1.1,0.7,0.7,4.8,Yes,Single,Middle,Average,2.6,0.7,ChatGPT,Handwritten,16,1,3.5,100,95
S00055,19,Male,South Korea,Engineering,4,3.96,5.0,100,5.7,7.5,3.7,0.5,5.1,Yes,Single,Middle,Average,3.7,0.4,Copilot,Digital,7,2,1.8,100,95
S00056,27,Female,Brazil,Medicine,1,4.0,4.9,100,7.5,5.7,4.1,1.5,1.7,Yes,Single,Low,Average,4.5,1.0,Gemini,Digital,12,3,1.6,100,100
S00057,21,Female,UK,Computer Science,2,3.07,2.2,75,6.7,7.0,4.0,2.1,6.9,No,Single,Middle,Average,3.4,0.6,ChatGPT,Handwritten,4,1,6.2,95,96
